Name|Commission Value
Commissioned Shadow Cutters|750.0
Commissioned Tent Panels|400.0
Commissioned Shackles|675.0
Commissioned Shieldings|495.0
Commissioned Blight Slicers|695.0
Commissioned Abacus|500.0
Commissioned Sleeping Roll|950.0
Commissioned Trap Wires|375.0
Commissioned Blightblockers|1100.0
Commissioned Support Braces|515.0
Commissioned Padded Jacket|575.0
Commissioned Lightcatcher|1400.0
Commissioned Portal Frame|1600.0
Commissioned Silver Sealant|600.0
Commissioned Livingwood Quiver|1150.0
Commissioned Blightburner|525.0
Commissioned Repellent|620.0
Commissioned Earth Mulchers|1300.0
Commissioned Trap Cover|1250.0
Commissioned Morning's Light Tea|425.0
Commissioned Mounted Spider|400.0
Commissioned Silvernotch Arrows|950.0
Commissioned Compass|1200.0
Commissioned Livingwood Bolts|1250.0
Commissioned Writing Needle|1100.0
Commissioned Spiked Trap|980.0
Commissioned Fey'd Fabric Rolls|980.0
Commissioned Light Lanterns|975.0
Commissioned Finger Bow Releases|1500.0
Commissioned Silvervein Bridle|975.0
Commissioned Spider Barding|1400.0
Commissioned Wet Boots|1250.0
